"Accession"	"log2FC"
"Sptan1"	-0.291960361162761
"Ank2"	-0.26809822336744
"Syn2"	-0.70687079880082
"Gapdh"	-0.457675283716649
"Atp2b4"	0.506766876396606
"Map4"	-0.268947518252142
"Clasp2"	0.322193962723929
"Septin7"	-0.904739144888021
"Dlg1"	0.7400545651145
"Pde2a"	0.380383203989074
"Hnrnpu"	-0.265577908253107
"Add1"	-0.392247099731712
"Add1"	-0.274052279419728
"Dbn1"	-0.610341170852418
"Nrxn3"	-1.27492058716982
"Ktn1"	1.18970495588221
"Glul"	-0.305242812038355
"Rrbp1"	-0.312307264828084
"Cit"	0.345209970343173
"Srrm2"	-0.324149913280822
"Vdac2"	-0.423655934829513
"Dpp10"	0.280923990095808
"Syt7"	0.302752409001547
"Ubap2l"	-0.287403500704754
"Adam22"	-0.607556562116109
"Cask"	-1.35145556322382
"Hnrnpk"	-1.45870446660361
"Hnrnpk"	-0.289152100959532
"Smarcc2"	-0.265702538604813
"Icam5"	-0.520756723403002
"Serbp1"	-0.377232050285254
"Syncrip"	-0.785261524827988
"Kcnab2"	-0.367483531192866
"Psip1"	-0.560831971769534
"Hnrnpa1"	-0.286288891774554
"Slc24a2"	-0.298827866200998
"Acin1"	-0.30750118863172
"Thrap3"	-0.400498436483465
"Hnrnpa1"	-0.341259536597526
"Atxn2"	0.354440373603573
"Vcan"	-0.26776325573111
"Map4"	-0.597137870217233
"G3bp2"	-0.327763461531706
"Ahcyl2"	-0.306351759132115
"Sf3a1"	-0.349920020287396
"Coro1c"	-0.3156805087627
"Psip1"	-0.621996633326764
"Wipf3"	-0.522258114269802
"Parp1"	-0.374575161301644
"Agap3"	-1.30513534188402
"Npm1"	-0.457201092551601
"Vcan"	-1.41328041710388
"Nucks1"	-1.07656946773589
"Gnb2"	-0.811949953302722
"Mtdh"	-0.705884910724884
"Nmt1"	-0.376442384288316
"Htatsf1"	-0.325030926250063
"Ddx46"	-0.298943471784201
"Ppp1r12a"	0.309692683330529
